id;annee_etude;date_debut;date_fin;hopital;chef_service;semestre;groupe;evaluation_objectif_1_etudiant;note_objectif_1_encadrant_referent
1;DCEM1;2021-06-21;2021-06-21;Razi;payment Managed compressing;a haptic SQL;Electronics Chair;Simule;EnCoursAquisition
2;DCEM3;2021-06-21;2021-06-21;MongiSlim;Table withdrawal;array open-source;Games programming;Realise;EnCoursAquisition
3;DCEM1;2021-06-20;2021-06-21;SalahAzaiez;Towels Tasty bypass;interactive;du;NoDemo;Acquis
4;DCEM2;2021-06-21;2021-06-21;HabibThameur;proactive data-warehouse drive;Ergonomic incubate;Croatian;Simule;NonAcquis
5;DCEM2;2021-06-21;2021-06-21;AzizaOthmana;invoice Table driver;Administrateur b a;Serbian;Simule;NonAcquis
6;DCEM1;2021-06-21;2021-06-20;AzizaOthmana;Aquitaine open-source;zero;maroon Du Cambridgeshire;NoDemo;EnCoursAquisition
7;DCEM2;2021-06-20;2021-06-21;HopitalEnfants;programming supply-chains;Islands;calculating Rhône-Alpes integrated;NoDemo;NonAcquis
8;DCEM1;2021-06-21;2021-06-21;HopitalEnfants;Plastic Keyboard;Metal Cambridgeshire;synthesize b time-frame;Simule;Acquis
9;DCEM1;2021-06-21;2021-06-21;CharlesNicolle;c Monaco;Bedfordshire Technicien;XSS;Simule;NonAcquis
10;DCEM1;2021-06-21;2021-06-20;CharlesNicolle;enable;Limousin;Tuna Basse-Normandie;NoDemo;NonAcquis
